"ISSN","ISSN_L","ISSN_IN_DOAJ","ISSN_IN_ROAD","ISSN_IN_PMC","ISSN_IN_OAPC","ISSN_IN_WOS","ISSN_IN_SCOPUS","JOURNAL_IN_DOAJ","JOURNAL_IN_ROAD","JOURNAL_IN_PMC","JOURNAL_IN_OAPC","JOURNAL_IN_WOS","JOURNAL_IN_SCOPUS","TITLE","TITLE_SOURCE"
"0102-1222","0102-1222",1,0,0,0,0,0,1,0,0,0,0,0,"Revista de Psicologia ","DOAJ"
"0102-2067","0102-2067",0,1,0,0,0,0,0,1,0,0,0,0,"Estudos de Biologia.","ROAD"
"0102-3543","0102-3543",0,1,0,0,0,0,0,1,0,0,0,0,"C&T.","ROAD"
"0102-4809","0102-4809",1,0,0,0,0,0,1,0,0,0,0,0,"O Eixo e a Roda: Revista de Literatura Brasileira","DOAJ"
"0102-549X","0102-549X",1,0,0,0,0,0,1,0,0,0,0,0,"Boletim Técnico do Senac","DOAJ"
"0102-5716","0102-5716",0,1,0,0,0,0,0,1,0,0,0,0,"Veterinária e Zootecnia.","ROAD"
"0102-6933","0102-6933",1,1,0,0,0,1,1,1,0,0,0,1,"Revista Gaúcha de Enfermagem ","DOAJ"
"0102-6992","0102-6992",1,1,0,0,0,1,1,1,0,0,0,1,"Sociedade e Estado","DOAJ"
"0102-7786","0102-7786",1,1,0,0,0,1,1,1,0,0,0,1,"Revista Brasileira de Meteorologia","DOAJ"
"0102-8650","0102-8650",1,1,0,0,1,1,1,1,0,0,1,1,"Acta Cirurgica Brasileira","DOAJ"
"0103-2100","0103-2100",1,1,0,0,1,1,1,1,0,0,1,1,"Acta Paulista de Enfermagem","DOAJ"
"0103-5908","0103-5908",0,1,0,0,0,0,0,1,0,0,0,0,"Revista Paradigma.","ROAD"
"0103-6858","0103-6858",0,1,0,0,0,0,0,1,0,0,0,0,"Leitura.","ROAD"
"0103-846X","0103-846X",1,1,0,0,1,1,1,1,0,0,1,1,"Revista Brasileira de Parasitologia Veterinária","DOAJ"
"0104-1282","0104-1282",1,1,0,0,0,1,1,1,0,0,0,1,"Journal of Human Growth and Development","DOAJ"
"0104-8333","0104-8333",1,1,0,0,0,1,1,1,0,0,0,1,"Cadernos Pagu","DOAJ"
"0104-8775","0104-8775",1,1,0,0,0,1,1,1,0,0,0,1,"Varia História","DOAJ"
"0120-1166","0120-1166",0,1,0,0,0,0,0,1,0,0,0,0,"Comunicación","ROAD"
"0120-1468","0120-1468",1,0,0,0,0,0,1,0,0,0,0,0,"Franciscanum","DOAJ"
"0120-6346","0120-6346",1,0,0,0,0,0,1,0,0,0,0,0,"Semestre Económico","DOAJ"
"0121-1129","0121-1129",1,0,0,0,0,0,1,0,0,0,0,0,"Revista Facultad de Ingeniería","DOAJ"
"0121-7372","0121-7372",1,0,0,0,0,0,1,0,0,0,0,0,"Repertorio de Medicina y Cirugía","DOAJ"
"0122-6339","0122-6339",1,0,0,0,0,0,1,0,0,0,0,0,"Enunciación","DOAJ"
"0123-5362","0123-5362",1,0,0,0,0,1,1,0,0,0,0,1,"Revista de Economía del Rosario","DOAJ"
"0124-406X","0124-406X",1,1,0,0,0,0,1,1,0,0,0,0,"Rastros Rostros","DOAJ"
"0125-961X","0125-961X",1,1,0,0,0,0,1,1,0,0,0,0,"Buletin Kebun Raya","DOAJ"
"0126-0650","0126-0650",1,0,0,0,0,0,1,0,0,0,0,0,"Informasi","DOAJ"
"0126-1568","0126-1568",1,1,0,0,0,0,1,1,0,0,0,0,"Atom Indonesia","DOAJ"
"0128-4878","",1,0,0,0,0,1,1,0,0,0,0,1,"Intellectual Discourse","DOAJ"
"0134-2452","0134-2452",0,1,0,0,0,1,0,1,0,0,0,1,"Kompʹûternaâ optika.","ROAD"
"0138-600X","0138-600X",0,1,0,0,0,1,0,1,0,0,0,1,"Revista cubana de obstetricia y ginecología.","ROAD"
"0208-5313","0208-5313",0,1,0,0,0,0,0,1,0,0,0,0,"Acta Universitatis Nicolai Copernici.","ROAD"
"0208-6069","0208-6069",0,1,0,0,0,0,0,1,0,0,0,0,"Acta Universitatis Lodziensis.","ROAD"
"0209-3693","0209-3693",0,1,0,0,0,0,0,1,0,0,0,0,"Maszyny Górnicze.","ROAD"
"0210-1963","0210-1963",1,1,0,0,1,1,1,1,0,0,1,1,"Arbor: Ciencia, Pensamiento y Cultura","DOAJ"
"0210-3729","0210-3729",1,0,0,0,0,0,1,0,0,0,0,0,"Sagvntum","DOAJ"
"0210-5683","0210-5683",0,1,0,0,0,0,0,1,0,0,0,0,"Millars","ROAD"
"0210-6124","0210-6124",0,1,0,0,1,1,0,1,0,0,1,1,"Atlantis.","ROAD"
"0210-7716","0210-7716",1,0,0,0,0,0,1,0,0,0,0,0,"Historia. Instituciones. Documentos","DOAJ"
"0210-962X","0210-962X",0,1,0,0,0,0,0,1,0,0,0,0,"Cuadernos de arte de la Universidad de Granada.","ROAD"
"0211-2159","0211-2159",1,1,0,0,1,1,1,1,0,0,1,1,"Psicológica","DOAJ"
"0211-3481","0211-3481",1,1,0,0,0,0,1,1,0,0,0,0,"Quaderns de Psicología","DOAJ"
"0211-3538","0211-3538",1,1,0,0,0,1,1,1,0,0,0,1,"Anuario Musical","DOAJ"
"0211-6707","0211-6707",0,1,0,0,0,0,0,1,0,0,0,0,"Áreas.","ROAD"
"0212-4068","0212-4068",1,0,0,0,0,1,1,0,0,0,0,1,"Revista Investigación Educativa","DOAJ"
"0213-1781","0213-1781",1,1,0,0,0,0,1,1,0,0,0,0,"Papeles de Geografí­a","DOAJ"
"0213-2397","0213-2397",0,1,0,0,0,0,0,1,0,0,0,0,"Manuscrits.","ROAD"
"0213-3474","0213-3474",0,1,0,0,0,0,0,1,0,0,0,1,"Boletín académico.","ROAD"
"0214-4824","0214-4824",1,1,0,0,0,0,1,1,0,0,0,0,"Ensayos","DOAJ"
"0214-7564","0214-7564",1,0,0,0,0,1,1,0,0,0,0,1,"Gazeta de Antropología","DOAJ"
"0215-4706","0215-4706",0,1,0,0,0,0,0,1,0,0,0,0,"Floribunda.","ROAD"
"0216-0455","0216-0455",1,0,0,0,0,0,1,0,0,0,0,0,"Agritech","DOAJ"
"0219-3108","1015-9584",0,1,0,0,1,1,1,1,0,0,1,1,"Asian Journal of Surgery","DOAJ"
"0221-8852","0221-8852",0,1,0,0,0,0,0,1,0,0,0,0,"Amerindia.","ROAD"
"0246-0092","0246-0092",0,1,0,0,0,0,0,1,0,0,0,0,"Études océan Indien.","ROAD"
"0253-5432","0253-5432",0,1,0,0,0,0,0,1,0,0,0,0,"The Bangladesh journal of scientific research.","ROAD"
"0254-1106","0254-1106",1,0,0,0,0,1,1,0,0,0,0,1,"Revista Crítica de Ciências Sociais","DOAJ"
"0255-6790","0255-6790",0,1,0,0,0,0,0,1,0,0,0,0,"Albanian medical journal.","ROAD"
"0259-191X","0259-191X",1,0,0,0,0,0,1,0,0,0,0,0,"ORiON","DOAJ"
"0260-3055","0260-3055",1,0,0,0,1,1,1,0,0,0,1,1,"Annals of Glaciology","DOAJ"
"0294-0442","0294-0442",0,1,0,0,0,0,0,1,0,0,0,0,"Journal of the short story in English.","ROAD"
"0303-7657","0303-7657",1,1,0,0,0,0,1,1,0,0,0,0,"Revista Brasileira de Saúde Ocupacional","DOAJ"
"0304-2758","0304-2758",0,1,0,0,1,1,0,1,0,0,1,1,"Estudios de economía.","ROAD"
"0325-1195","0325-1195",0,1,0,0,0,0,0,1,0,0,0,0,"Cuadernos de historia de España.","ROAD"
"0327-5752","0327-5752",0,1,0,0,0,0,0,1,0,0,0,0,"Memoria americana.","ROAD"
"0328-1205","0328-1205",1,1,0,0,1,1,1,1,0,0,1,1,"Synthesis (La Plata)","DOAJ"
"0329-7829","0329-7829",0,1,0,0,0,0,0,1,0,0,0,0,"Hospital Aeronáutico Central..","ROAD"
"0350-1361","0350-1361",1,0,0,0,1,1,1,0,0,0,1,1,"Zograf","DOAJ"
"0350-7831","0350-7831",0,1,0,0,0,0,0,1,0,0,0,0,"Čakavska rič","ROAD"
"0350-8773","0350-8773",1,0,0,0,0,0,1,0,0,0,0,0,"Praxis Medica","DOAJ"
"0350-9370","0350-9370",0,1,0,0,0,0,0,1,0,0,0,0,"Muzejski vjesnik","ROAD"
"0351-0557","0351-0557",0,1,0,0,0,0,0,1,0,0,0,0,"Kulturna baština","ROAD"
"0351-1944","0351-1944",1,1,0,0,0,1,1,1,0,0,0,1,"Etnološka Tribina","DOAJ"
"0351-2851","0351-2851",1,0,0,0,0,1,1,0,0,0,0,1,"Acrocephalus","DOAJ"
"0351-4706","0351-4706",1,0,0,0,1,1,1,0,0,0,1,1,"Filozofska Istraživanja","DOAJ"
"0351-8760","0351-8760",0,1,0,0,0,0,0,1,0,0,0,0,"Preporod.","ROAD"
"0352-678X","0352-678X",0,1,0,0,0,0,0,1,0,0,0,0,"Procesna tehnika","ROAD"
"0352-7379","0352-7379",1,0,0,0,0,0,1,0,0,0,0,0,"Psihološka Istraživanja","DOAJ"
"0352-7875","0352-7875",0,1,0,0,1,1,0,1,0,0,1,1,"Synthesis philosophica","ROAD"
"0353-443X","0353-443X",0,1,0,0,0,0,0,1,0,0,0,0,"Ekonomika preduzeća.","ROAD"
"0353-4529","0353-4529",1,1,0,0,0,1,1,1,0,0,0,1,"Rudarsko-geološko-naftni Zbornik","DOAJ"
"0353-7552","0353-7552",0,1,0,0,0,0,0,1,0,0,0,0,"Muzeologija","ROAD"
"0353-9466","0353-9466",0,1,0,0,1,1,0,1,0,0,1,1,"Acta clinica Croatica.","ROAD"
"0354-0596","0354-0596",1,1,0,0,0,1,1,1,0,0,0,1,"Dela","DOAJ"
"0354-2904","0354-2904",1,0,0,0,0,0,1,0,0,0,0,0,"Podzemni Radovi","DOAJ"
"0354-2955","0354-2955",1,0,0,0,0,0,1,0,0,0,0,0,"Bulletin Astronomique de Belgrade","DOAJ"
"0365-0588","0365-0588",1,1,0,0,1,1,1,1,0,0,1,1,"Acta Botanica Croatica","DOAJ"
"0368-0762","0368-0762",0,0,1,0,1,1,0,0,1,0,1,1,"Irish Veterinary Journal","PMC"
"0378-4738","0378-4738",1,1,0,0,1,1,1,1,0,0,1,1,"Water S.A.","DOAJ"
"0379-5136","0379-5136",0,1,0,0,1,1,0,1,0,0,1,1,"Indian journal of marine sciences.","ROAD"
"0379-6175","0379-6175",1,1,0,0,0,1,1,1,0,0,0,1,"South African Journal of Physiotherapy","DOAJ"
"0393-5264","0393-5264",0,1,0,0,1,1,0,1,0,0,1,1,"Functional neurology.","ROAD"
"0394-4298","0394-4298",0,1,0,0,0,0,0,1,0,0,0,0,"Venezia arti.","ROAD"
"0420-1213","0420-1213",0,1,0,0,0,1,1,1,0,0,0,1,"Demonstratio Mathematica","DOAJ"
"0429-288X","0429-288X",1,1,0,0,0,1,1,1,0,0,0,1,"Fragmenta entomologica","DOAJ"
"0440-6605","0440-6605",1,0,0,0,1,1,1,0,0,0,1,1,"Helminthologia","DOAJ"
"0524-9767","0524-9767",1,1,0,0,0,1,1,1,0,0,0,1,"Boletín de Historia Argentina y Americana Dr. Emilio Ravignani","DOAJ"
"0550-2179","0550-2179",1,1,0,0,0,0,1,1,0,0,0,0,"Zbornik Radova: Pravni Fakultet u Novom Sadu","DOAJ"
"0555-1145","0555-1145",0,1,0,0,0,0,0,1,0,0,0,0,"Prilozi povijesti umjetnosti u Dalmaciji","ROAD"
"0570-1783","0570-1783",1,0,0,0,0,0,1,0,0,0,0,0,"Annals of Agricultural Sciences","DOAJ"
"0716-0720","0716-0720",0,1,0,0,0,0,0,1,0,0,0,0,"Parasitología al día.","ROAD"
"0716-1840","0716-1840",0,1,0,0,1,1,0,1,0,0,1,1,"Atenea : revista de ciencia, arte y literatura","ROAD"
"0716-7423","0716-7423",0,1,0,0,0,0,0,1,0,0,0,0,"Temas de educación.","ROAD"
"0717-1285","0717-1285",0,1,0,0,1,1,0,1,0,0,1,1,"ONOMAZEIN.","ROAD"
"0717-4853","0717-4853",0,1,0,0,0,0,0,1,0,0,0,0,"Revista de teoría del arte.","ROAD"
"0717-7348","0717-5698",0,1,0,0,0,1,0,1,0,0,0,1,"Revista chilena de enfermedades respiratorias.","ROAD"
"0718-0209","0718-0209",0,1,0,0,1,1,0,1,0,0,1,1,"Magallania.","ROAD"
"0718-0446","0718-0446",1,0,0,0,0,0,1,0,0,0,0,0,"Summa Psicologica UST","DOAJ"
"0718-0527","0718-0527",1,1,0,0,0,1,1,1,0,0,0,1,"Revista Mad","DOAJ"
"0718-0764","0716-8756",0,1,0,0,0,1,0,1,0,0,0,1,"Información tecnológica.","ROAD"
"0718-0969","0716-2006",0,1,0,0,0,0,0,1,0,0,0,0,"Ciencia y tecnología del mar.","ROAD"
"0718-1361","0718-1361",0,1,0,0,0,0,0,1,0,0,0,0,"Límite: revista de filosofía y psicología.","ROAD"
"0718-1671","0718-1671",0,1,0,0,0,0,0,1,0,0,0,0,"Ciencias sociales online.","ROAD"
"0718-2236","0717-4691",0,1,0,0,0,0,0,1,0,0,0,0,"Ultima década.","ROAD"
"0718-2805","0718-2805",0,1,0,0,0,0,0,1,0,0,0,0,"Obras y proyectos: revista de ingeniería civil.","ROAD"
"0718-3402","0379-8682",0,1,0,0,1,0,0,1,0,0,1,1,"Revista de geografía Norte Grande.","ROAD"
"0718-3429","0073-4675",0,1,0,0,0,1,0,1,0,0,0,1,"Idesia.","ROAD"
"0718-4565","0717-4004",0,1,0,0,0,0,0,1,0,0,0,0,"Calidad en la educación.","ROAD"
"0718-4727","0718-4727",0,1,0,0,0,0,0,1,0,0,0,0,"Cultura y religión.","ROAD"
"0718-4735","0718-0853",1,1,0,0,0,0,1,1,0,0,0,0,"Revista de Estudios de la Justicia","DOAJ"
"0718-5006","0718-5006",0,1,0,0,0,1,0,1,0,0,0,1,"Formación universitaria.","ROAD"
"0718-8560","0716-7105",0,1,0,0,0,0,0,1,0,0,0,0,"Revista chilena de cardiología.","ROAD"
"0719-2460","0719-2460",1,1,0,0,0,0,1,1,0,0,0,1,"Journal of Oral Research","DOAJ"
"0719-2681","0716-2278",0,1,0,0,0,1,0,1,0,0,0,1,"Diálogo andino.","ROAD"
"0719-3890","0719-3882",0,1,0,0,0,1,0,1,0,0,0,1,"Chilean journal of agricultural & animal science.","ROAD"
"0719-4242","0719-4234",1,0,0,0,0,0,1,0,0,0,0,0,"Revista de Humanidades de Valparaíso","DOAJ"
"0719-5303","0719-5303",0,1,0,0,0,0,0,1,0,0,0,0,"Journal of industrial neo-technologies.","ROAD"
"0719-5699","0718-7432",0,1,0,0,0,0,1,1,0,0,0,0,"Tiempo Historico","DOAJ"
"0719-6520","0718-1612",1,0,0,0,0,0,1,0,0,0,0,0,"TS Cuadernos de Trabajo Social","DOAJ"
"0719-8426","0719-8426",0,1,0,0,0,0,0,1,0,0,0,0,"RChD: creación y pensamiento.","ROAD"
"0770-6081","0770-6081",0,1,0,0,0,0,0,1,0,0,0,0,"Les Cahiers du GRIF.","ROAD"
"0832-6193","0832-6193",0,1,0,0,0,0,0,1,0,0,0,0,"The trumpeter.","ROAD"
"0852-0720","0852-0720",1,0,0,0,0,0,1,0,0,0,0,0,"Miqot: Jurnal Ilmu-ilmu Keislaman","DOAJ"
"0854-5251","0854-5251",0,1,0,0,0,0,0,1,0,0,0,0,"Jurnal endidikan Ilmu Sosial.","ROAD"
"0862-8408","0862-8408",0,1,0,1,1,1,0,1,0,1,1,1,"Physiological Research.","ROAD"
"0864-0319","0864-0319",0,1,0,0,0,1,0,1,0,0,0,1,"Revista cubana de enfermería.","ROAD"
"0864-4659","0864-4659",1,1,0,0,0,1,1,1,0,0,0,1,"Ciencias de la Información ","DOAJ"
"0866-9546","0866-9546",0,1,0,0,0,1,0,1,0,0,0,1,"Archives of Transport.","ROAD"
"0870-9025","0870-9025",0,1,0,0,0,1,0,1,0,0,0,1,"Revista portuguesa de saúde pública.","ROAD"
"0871-9187","0871-9187",1,0,0,0,0,0,1,0,0,0,0,0,"Revista Portuguesa de Educação","DOAJ"
"0873-6529","0873-6529",1,0,0,0,0,1,1,0,0,0,0,1,"Sociologia","DOAJ"
"0883-5365","0883-5365",1,1,0,0,0,0,1,1,0,0,0,0,"Oral Tradition","DOAJ"
"0891-2017","0891-2017",1,1,0,0,1,1,1,1,0,0,1,1,"Computational Linguistics","DOAJ"
"0894-6825","0894-6825",0,1,0,0,0,1,0,1,0,0,0,1,"Business and economic history on-line.","ROAD"
"0899-8299","0899-8299",0,1,1,0,0,0,0,1,1,0,0,0,"The journal of IMA","ROAD"
"0914-6423","0914-6423",0,1,0,0,0,0,0,1,0,0,0,0,"Nihon gan kango gakkaishi.","ROAD"
"0915-5287","0915-5287",0,0,1,0,1,1,0,0,1,0,1,1,"Journal of Physical Therapy Science","PMC"
"0916-8737","0916-8737",1,1,1,0,0,1,1,1,1,0,0,1,"Journal of Smooth Muscle Research","DOAJ"
"0916-8818","0916-8818",0,1,1,0,1,1,0,1,1,0,1,1,"Journal of reproduction and development.","ROAD"
"0918-8959","0918-8959",0,1,0,0,1,1,0,1,0,0,1,1,"Endocrine journal.","ROAD"
"0927-460X","0927-460X",1,0,0,0,0,0,1,0,0,0,0,0,"Merkourios","DOAJ"
"0929-6441","0929-6441",1,1,0,0,0,1,1,1,0,0,0,1,"Journal of Medical Ultrasound","DOAJ"
"0932-2221","0932-2221",0,1,0,0,1,1,0,1,0,0,1,1,"Zeitschrift für Katalanistik.","ROAD"
"0950-1096","0950-1096",0,1,0,0,0,0,0,1,0,0,0,0,"The Linnean.","ROAD"
"0954-6324","0954-6324",1,0,0,0,0,1,1,0,0,0,0,1,"Wildfowl","DOAJ"
"0970-9290","0970-9290",1,1,0,0,0,1,1,1,0,0,0,1,"Indian Journal of Dental Research","DOAJ"
"0972-1959","0972-1959",0,1,0,0,0,0,0,1,0,0,0,0,"Annals of plant and soil research.","ROAD"
"0973-029X","0973-029X",1,1,1,0,0,1,1,1,1,0,0,1,"Journal of Oral and Maxillofacial Pathology","DOAJ"
"0973-3469","0973-3469",0,1,0,0,0,0,0,1,0,0,0,0,"Material science research India.","ROAD"
"0974-1496","0974-1496",0,1,0,0,0,1,0,1,0,0,0,1,"Rasayan journal of chemistry.","ROAD"
"0974-276X","0974-276X",0,0,0,1,0,1,0,0,0,1,0,1,"Journal of Proteomics & Bioinformatics","OAPC"
"0974-5009","0974-5009",1,0,0,0,0,0,1,0,0,0,0,0,"Journal of the Scientific Society","DOAJ"
"0974-5998","0974-5998",1,1,1,0,0,1,1,1,1,0,0,1,"African Journal of Paediatric Surgery","DOAJ"
"0974-6242","0974-6242",0,1,0,0,0,1,0,1,0,0,0,1,"Biomedical and pharmacology journal.","ROAD"
"0975-0282","0975-0290",0,1,0,0,0,0,0,1,0,0,0,0,"International journal of advanced networking and applications.","ROAD"
"0975-9344","0975-9344",0,1,0,0,0,1,0,1,0,0,0,1,"International journal of drug development and research.","ROAD"
"0976-3600","1817-7417",1,0,0,0,0,0,1,0,0,0,0,0,"African Journal of Business Ethics","DOAJ"
"0976-4003","0976-4003",0,1,0,0,0,0,0,1,0,0,0,0,"Indian journal of dental sciences.","ROAD"
"0976-8157","0976-8157",0,1,0,0,0,0,0,1,0,0,0,0,"Pharmacie globale.","ROAD"
"0976-9692","0976-9692",0,1,0,0,0,0,0,1,0,0,0,0,"Pharmacia.","ROAD"
"1001-4381","1001-4381",1,0,0,0,0,1,1,0,0,0,0,1,"Journal of Materials Engineering","DOAJ"
"1009-3419","1009-3419",1,0,0,0,0,1,1,0,0,0,0,1,"Chinese Journal of Lung Cancer","DOAJ"
"1011-8772","1011-8772",0,1,0,0,0,0,0,1,0,0,0,0,"Speculum.","ROAD"
"1012-0076","1012-0076",0,1,0,0,0,0,0,1,0,0,0,0,"Revista de ciencias médicas La Habana.","ROAD"
"1013-7025","1013-7025",1,1,0,0,0,1,1,1,0,0,0,1,"Hong Kong Physiotherapy Journal","DOAJ"
"1016-1066","1016-1066",1,0,0,0,0,0,1,0,0,0,0,0,"Musicologica Austriaca","DOAJ"
"1016-6947","1016-6947",0,1,0,0,0,0,0,1,0,0,0,0,"Journal of the Asiatic Society of Bangladesh. Science.","ROAD"
"1017-1703","1017-1703",1,1,0,0,0,0,1,1,0,0,0,0,"Clean Air Journal","DOAJ"
"1017-6446","1017-6446",0,1,0,0,0,0,0,1,0,0,0,0,"Zhōng yīyào zázhì.","ROAD"
"1017-7000","1017-7000",0,1,0,0,0,0,0,1,0,0,0,0,"Acta herediana.","ROAD"
"1018-1601","1018-1601",0,1,0,0,0,1,0,1,0,0,0,1,"Tái-dà guǎnlǐ lùncóng.","ROAD"
"1018-5615","1018-5615",0,1,0,0,0,1,1,1,0,0,0,1,"Türk Patoloji Dergisi","DOAJ"
"1019-6188","1019-6188",0,1,0,0,0,0,0,1,0,0,0,0,"Hekima review.","ROAD"
"1021-2019","1021-2019",0,1,0,0,1,1,0,1,0,0,1,1,"Journal of the South African Institution of Civil Engineers.","ROAD"
"1021-545X","1021-545X",0,1,0,0,0,0,0,1,0,0,0,0,"Fundamina.","ROAD"
"1022-1301","1022-1301",1,0,0,0,0,0,1,0,0,0,0,0,"Archivos Latinoamericanos de Producción Animal","DOAJ"
"1022-5390","1022-5390",0,1,0,0,0,0,0,1,0,0,0,0,"Theologika.","ROAD"
"1022-6508","1022-6508",0,1,0,0,0,0,0,1,0,0,0,0,"Revista iberoamericana de educación.","ROAD"
"1023-0904","1023-0904",0,1,0,0,0,1,0,1,0,0,0,1,"Journal für Menopause.","ROAD"
"1024-2708","1024-2708",1,0,0,0,1,1,1,0,0,0,1,1,"Hong Kong Medical Journal","DOAJ"
"1024-8919","1024-8919",0,1,0,0,0,0,0,1,0,0,0,0,"The Professional medical journal.","ROAD"
"1025-5834","1025-5834",0,1,0,1,1,1,1,1,0,1,1,1,"Journal of Inequalities and Applications","DOAJ"
"1027-4634","1027-4634",0,1,0,0,0,0,0,1,0,0,0,0,"Matematičnì studìï.","ROAD"
"1028-835X","1028-835X",0,1,0,0,0,0,0,1,0,0,0,0,"Estudios de filosofía","ROAD"
"1029-242X","1025-5834",1,1,0,1,1,1,1,1,0,1,1,1,"Journal of Inequalities and Applications","DOAJ"
"1057-5057","1057-5057",0,1,0,0,0,1,0,1,0,0,0,1,"Harvard human rights journal","ROAD"
"1062-4740","1062-4740",1,0,0,1,0,0,1,0,0,1,0,0,"Bulletin of the History of Archaeology","DOAJ"
"1076-9757","1076-9757",1,1,0,0,1,1,1,1,0,0,1,1,"The Journal of Artificial Intelligence Research","DOAJ"
"1094-8074","1094-8074",0,1,0,0,1,1,0,1,0,0,1,1,"Palaeontologia electronica","ROAD"
