publication_title;print _identifier;online_identifier;date_first_issue_online;num_first_vol_online;num_first_issue_online;date_last_issue_online;num_last_vol_online;num_last_issue_online;title_url;first_author;title_id;embargo_info;coverage_depth;coverage_notes;publisher_name
Neuland Das Wirtschaftsmagazin der Regionen;;;;;;;;;;;NEUL;;;;
NeuroPsychoEconomics;;;;;;;;;;;NPE;;;;
ôkologie & Landbau;;;;;;;;;;;OELA;;;;
ôkologisches Wirtschaften;;;;;;;;;;;OEWI;;;;
ORDO - Jahrbuch fÅr die Ordnung von Wirtschaft und Gesellschaft;;;;;;;;;;;ORDO;;;;
OrganisationsEntwicklung;;;;;;;;;;;ZOE;;;;
Orientierungen zur Wirtschafts- und Gesellschaftspolitik;;;;;;;;;;;OWG;;;;
PERIPHERIE;;;;;;;;;;;PERI;;;;
PERSONALquarterly;;;;;;;;;;;BVPN;;;;
Personalwirtschaft;;;;;;;;;;;PWI;;;;
Personal - Zeitschrift fÅr Human Resource Management;;;;;;;;;;;BVPE;;;;
pharmind;;;;;;;;;;;PHAM;;;;
Planung & Analyse;;;;;;;;;;;PUA;;;;
politische îkologie;;;;;;;;;;;OEKO;;;;
Politische Psychologie;;;;;;;;;;;POPS;;;;
Praxis der Kinderpsychologie und Kinderpsychiatrie;;;;;;;;;;;PDKK;;;;
Praxis Klinische Verhaltensmedizin und Rehabilitation;;;;;;;;;;;PKV;;;;
PRODUCTIVITY Management;;;;;;;;;;;PPS;;;;
Projekt Magazin;;;;;;;;;;;PROJ;;;;
projektMANAGEMENT aktuell;;;;;;;;;;;PM;;;;
Psychoanalyse - Texte zur Sozialforschung;;;;;;;;;;;PSYA;;;;
Psychological Test and Assessment Modeling;;;;;;;;;;;PSS;;;;
Psychological Thought;;;;;;;;;;;PSYC;;;;
Psychologie & Gesellschaftskritik;;;;;;;;;;;PUGK;;;;
Psychology, Community & Health;;;;;;;;;;;PCH;;;;
Zeitschrift fÅr Psychosomatische Medizin und Psychotherapie;;;;;;;;;;;ZPMP;;;;
Quarterly Journal of International Agriculture;;;;;;;;;;;QJIA;;;;
QZ QualitÑt und ZuverlÑssigkeit;;;;;;;;;;;QZ;;;;
RATINGaktuell;;;;;;;;;;;RAAK;;;;
rausch - Wiener Zeitschrift fÅr Suchttherapie;;;;;;;;;;;RAU;;;;
Rechtstheorie;;;;;;;;;;;RTH;;;;
REGION;;;;;;;;;;;REGI;;;;
Review of Economics;;;;;;;;;;;JBWW;;;;
Schmalenbach Business Review;;;;;;;;;;;SBRE;;;;
Schmollers Jahrbuch;;;;;;;;;;;SJB;;;;
Schriften zur angewandten Mittelstandsforschung;;;;;;;;;;;SMF;;;;
Der Schweizer TreuhÑnder;;;;;;;;;;;DST;;;;
Social Media Magazin;;;;;;;;;;;SMA;;;;
Sociologus;;;;;;;;;;;SOC;;;;
Sozialer Fortschritt;;;;;;;;;;;SOFO;;;;
sozialer sinn - Zeitschrift fÅr hermeneutische Sozialforschung;;;;;;;;;;;SOSI;;;;
Soziale Systeme - Zeitschrift fÅr soziologische Theorie;;;;;;;;;;;SOSY;;;;
Sozialwissenschaften und Berufspraxis;;;;;;;;;;;SOBE;;;;
Sport und Gesellschaft;;;;;;;;;;;SUG;;;;
Der Staat;;;;;;;;;;;STAA;;;;
Der Steuerberater;;;;;;;;;;;STB;;;;
Die Steuerberatung;;;;;;;;;;;STBG;;;;
StrahlenschutzPRAXIS;;;;;;;;;;;SSP;;;;
Terra Tech;;;;;;;;;;;TT;;;;
Totalitarismus und Demokratie;;;;;;;;;;;TUD;;;;
Tourismus Journal;;;;;;;;;;;TJ;;;;
transfer Werbeforschung & Praxis;;;;;;;;;;;TWP;;;;
Umsatzsteuer-Rundschau;;;;;;;;;;;UR;;;;
Umweltpsychologie;;;;;;;;;;;UMPS;;;;
Die Unternehmung;;;;;;;;;;;UNTE;;;;
Verîffentlichungen des Instituts fÅr Mittelstandsforschung;;;;;;;;;;;VIM;;;;
Verhaltenstherapie & Verhaltensmedizin;;;;;;;;;;;VUV;;;;
Die Versicherungspraxis;;;;;;;;;;;DVP;;;;
Versicherungsrecht-A (AufsÑtze);;;;;;;;;;;VRA;;;;
Versicherungsrecht-R (Rechtsprechung);;;;;;;;;;;VRR;;;;
Die Verwaltung;;;;;;;;;;;VERW;;;;
Vierteljahrshefte zur Wirtschaftsforschung;;;;;;;;;;;VJH;;;;
VOB aktuell;;;;;;;;;;;VOB;;;;
WeltTrends;;;;;;;;;;;WTRE;;;;
Wirtschaftspsychologie;;;;;;;;;;;WPSY;;;;
Wirtschaftspsychologie aktuell;;;;;;;;;;;WP;;;;
Wirtschaft und Recht in Osteuropa;;;;;;;;;;;WIRO;;;;
Wirtschaft und Wettbewerb;;;;;;;;;;;WUWE;;;;
wirtschaft & weiterbildung;;;;;;;;;;;WUW;;;;
wissensmanagement;;;;;;;;;;;WIM;;;;
Wittener Jahrbuch fÅr îkonomische Literatur;;;;;;;;;;;WJ;;;;
WSI Report;;;;;;;;;;;WSIR;;;;
Zeitschrift FÅhrung und Organisation;;;;;;;;;;;ZFO;;;;
Zeitschrift fÅr Agrargeschichte und Agrarsoziologie;;;;;;;;;;;ZFAA;;;;
Zeitschrift fÅr das gesamte Kreditwesen;;;;;;;;;;;ZFGK;;;;
Zeitschrift fÅr Evaluation;;;;;;;;;;;WAX;;;;
Zeitschrift fÅr KMU und Entrepreneurship;;;;;;;;;;;ZFKE;;;;
Zeitschrift fÅr Neues Energierecht;;;;;;;;;;;ZNER;;;;
Zeitschrift fÅr Personalforschung;;;;;;;;;;;ZFP;;;;
Zeitschrift fÅr Rechtspolitik;;;;;;;;;;;ZRP;;;;
Zeitschrift fÅr Rechtssoziologie;;;;;;;;;;;ZFR;;;;
Zeitschrift fÅr Sozialreform;;;;;;;;;;;ZSR;;;;
Zeitschrift fÅr Soziologie;;;;;;;;;;;ZFS;;;;
Zeitschrift fÅr Tourismuswissenschaft;;;;;;;;;;;ZFT;;;;
Zeitschrift fÅr Verkehrssicherheit;;;;;;;;;;;ZVS;;;;
Zeitschrift fÅr wirtschaftlichen Fabrikbetrieb;;;;;;;;;;;ZWF;;;;
Zeitschrift fÅr Wirtschaftspolitik;;;;;;;;;;;ZFWP;;;;
Zeitschrift fÅr Wirtschafts- und Bankrecht;;;;;;;;;;;WM;;;;
Zeitschrift fÅr Wirtschafts- und Unternehmensethik;;;;;;;;;;;ZFWU;;;;
zfbf Schmalenbachs Zeitschrift f. betriebswirts. Forschung;;;;;;;;;;;ZFBF;;;;
ZfF ? Zeitschrift fÅr Familienforschung;;;;;;;;;;;ZFF;;;;
ZfgG - Zeitschrift fÅr das gesamte Genossenschaftswesen;;;;;;;;;;;ZFGG;;;;
ZKF - Zeitschrift fÅr Kommunalfinanzen;;;;;;;;;;;ZKF;;;;
